feature	pos	interpretation	comment
SUBJ	VAFIN	VerbForm	
SUBJ	VMFIN	VerbForm	
SUBJ	VVFIN	VerbForm	


Unimorph interpretation

DDD	Unimorph
:ADJ 	um:ADJ
:ADJD 	um:ADJ
:ADJDE 	um:ADJ
:ADJE 	um:ADJ
:ADJN 	um:ADJ
:ADJNE 	um:ADJ
:ADJO 	um:ADJ
:ADJON 	um:ADJ
:ADJOS 	um:ADJ
:ADJOS_ 	um:ADJ
:ADJS 	um:ADJ
:ADV 	um:ADV
:ADVM 	um:ADV
:ADVNEG 	um:ADV
:ADVREL 	um:ADV
:APPAV 	um:ADP
:APPO 	um:ADP
:APPR 	um:ADP
:APPR_ 	um:ADP
:APZR 	um:ADP
:CARD 	um:NUM
:CARDN 	um:NUM
:CARDS 	um:NUM
:DD 	um:DET
:DDA 	um:DET
:DDN 	um:DET
:DDREL 	um:DET
:DDS 	um:DET
:DDSREL 	um:DET
:DI 	um:DET
:DIA 	um:DET
:DIN 	um:DET
:DINEG 	um:DET
:DINEGN 	um:DET
:DINEGS 	um:DET
:DIS 	um:DET
:DPOS 	um:DET
:DPOSD 	um:DET
:DPOSN 	um:DET
:DPOSS 	um:DET
:DW 	um:DET
:DWG 	um:DET
:DWGREL 	um:DET
:DWREL 	um:DET
:DWS 	um:DET
:DWSREL 	um:DET
:ITJ 	um:INTJ
:KO 	um:CONJ
:KOKOM 	um:CONJ
:KON 	um:CONJ
:KOUS 	um:CONJ
:NA 	um:N
:NE 	um:N
:NEO 	um:N
:PI 	um:PRO
:PINEG 	um:PRO
:PPER 	um:PRO
:PPER_DPOS 	um:PRO
:PRF 	um:PRO
:PTKANT 	um:PART
:PTKINT 	um:PART
:PTKNEG 	um:PART
:PTKREL 	um:PART
:PTKVZ 	um:PART
:PTKZU 	um:PART
:PW 	um:PRO
:PWAV 	um:PRO
:PWAVREL 	um:PRO
:PWG 	um:PRO
:PWGAV 	um:PRO
:PWGAVREL 	um:PRO
:PWGREL 	um:PRO
:PWREL 	um:PRO
:PZKVZ 	um:PART
:VAFIN 	um:V, um:FIN
:VAIMP 	um:V, um:IMP
:VAINF 	um:V, um:NFIN
:VAINFS 	um:V.MSDR
:VAPP 	um:V.PTCP, um:PST
:VAPS 	um:V.PTCP, um:PRS
:VAPSD 	um:V.PTCP, um:PRS
:VMFIN 	um:V, um:FIN
:VMFUB 	um:V
:VMINF 	um:V, um:NFIN
:VMINFS 	um:V.MSDR
:VMPP 	um:V.PTCP, m:PST
:VMPS 	um:V.PTCP, um:PRS
:VVFIN 	um:V, um:FIN
:VVIMP 	um:V, um:IMP
:VVINF 	um:V, um:NFIN
:VVINFS 	um:V.MSDR
:VVPP 	um:V.PTCP, um:PST
:VVPPA 	um:V.PTCP, um:PST
:VVPPD 	um:V.PTCP, um:PST
:VVPPN 	um:V.PTCP, um:PST
:VVPPS 	um:V.PTCP, um:PST
:VVPS 	um:V.PTCP, um:PRS
:VVPSA 	um:V.PTCP, um:PRS
:VVPSADV 	um:V.PTCP, um:PRS
:VVPSD 	um:V.PTCP, um:PRS
:VVPSN 	um:V.PTCP, um:PRS
:VVPSS 	um:V.PTCP, um:PRS
:VVVFIN 	um:V, um:FIN
:handschr 	
:komma 	
:punkt 	
:satzintern 	
:unklar 	
:_0	
:_1	
:_2	
:_3	
:A_O	
:ACC	um:ACC
:COMP	um:CMPR
:DAT	um:DAT
:FEM	um:FEM
:GEN	um:GEN
:IMP	um:IMP
:IND	um:IND
:INS	um:INS
:JA_JO	
:MASC	um:MASC
:N	
:NEUT	um:NEUT
:NOM	um:NOM
:P	
:PAST	um:PST
:PL	um:PL
:POS	um:AB
:PRES	um:PRS
:SG	um:SG
:ST	
:SUBJ	um:SBJV
:SUP	um:SPRL
:WK	
